classifier,best guess,probability,total_time,flops
alexnet,red fox,0.37571,0.33212,2326726595
shufflenet,kit fox,9.9553,0.15503,1439342056
resnet_101,tiger cat,0.22623,4.1692,15270642592
googlenet,tiger cat,0.5004,0.59447,3190443136
mobilenet,tiger cat,0.29074,0.3592,9692871048
squeezenet,kit fox,0.45602,0.18643,706628160
