classifier,best guess,probability,correct label,probability,total_time,flops
alexnet,vending machine,0.98482,vending machine,0.98482,0.31465,2326726595
shufflenet,vending machine,17.765,vending machine,17.765,0.19819,1439342056
resnet_101,vending machine,0.99898,vending machine,0.99898,4.289,15270642592
googlenet,vending machine,0.9966,vending machine,0.9966,0.59688,3190443136
mobilenet,vending machine,0.99298,vending machine,0.99298,0.35673,9692871048
squeezenet,vending machine,0.99641,vending machine,0.99641,0.19135,706628160
